logistic_score,mlr_score,reading
0,0,572
0,5,231
0,10,108
0,15,70
0,20,51
0,25,1
0,30,18
0,35,15
0,40,8
0,45,0
0,50,4
0,55,2
0,60,1
0,65,0
0,70,0
0,75,0
0,80,0
0,85,0
0,90,0
0,95,0
0,100,0
5,0,253
5,5,264
5,10,197
5,15,181
5,20,140
5,25,82
5,30,81
5,35,54
5,40,43
5,45,27
5,50,17
5,55,14
5,60,8
5,65,3
5,70,0
5,75,1
5,80,1
5,85,0
5,90,0
5,95,0
5,100,0
10,0,93
10,5,232
10,10,206
10,15,156
10,20,116
10,25,137
10,30,96
10,35,81
10,40,76
10,45,60
10,50,30
10,55,27
10,60,26
10,65,19
10,70,12
10,75,3
10,80,3
10,85,1
10,90,0
10,95,0
10,100,0
15,0,62
15,5,130
15,10,178
15,15,135
15,20,151
15,25,130
15,30,103
15,35,100
15,40,107
15,45,72
15,50,55
15,55,49
15,60,38
15,65,26
15,70,17
15,75,11
15,80,2
15,85,2
15,90,0
15,95,1
15,100,0
20,0,28
20,5,114
20,10,143
20,15,102
20,20,102
20,25,119
20,30,125
20,35,121
20,40,100
20,45,90
20,50,78
20,55,66
20,60,64
20,65,34
20,70,42
20,75,15
20,80,17
20,85,7
20,90,2
20,95,1
20,100,0
25,0,32
25,5,94
25,10,105
25,15,110
25,20,96
25,25,104
25,30,126
25,35,93
25,40,100
25,45,92
25,50,93
25,55,77
25,60,66
25,65,60
25,70,41
25,75,47
25,80,18
25,85,11
25,90,5
25,95,0
25,100,0
30,0,25
30,5,56
30,10,67
30,15,103
30,20,83
30,25,99
30,30,78
30,35,110
30,40,86
30,45,86
30,50,93
30,55,135
30,60,107
30,65,73
30,70,61
30,75,47
30,80,31
30,85,22
30,90,4
30,95,1
30,100,0
35,0,11
35,5,74
35,10,88
35,15,89
35,20,118
35,25,107
35,30,109
35,35,102
35,40,86
35,45,87
35,50,95
35,55,86
35,60,81
35,65,65
35,70,52
35,75,44
35,80,40
35,85,28
35,90,11
35,95,0
35,100,0
40,0,6
40,5,54
40,10,63
40,15,79
40,20,91
40,25,95
40,30,99
40,35,92
40,40,103
40,45,70
40,50,74
40,55,89
40,60,75
40,65,87
40,70,76
40,75,89
40,80,55
40,85,41
40,90,25
40,95,7
40,100,0
45,0,1
45,5,45
45,10,61
45,15,69
45,20,96
45,25,109
45,30,103
45,35,101
45,40,70
45,45,95
45,50,78
45,55,89
45,60,87
45,65,89
45,70,87
45,75,70
45,80,57
45,85,34
45,90,24
45,95,5
45,100,0
50,0,4
50,5,28
50,10,49
50,15,71
50,20,72
50,25,90
50,30,94
50,35,80
50,40,98
50,45,92
50,50,101
50,55,96
50,60,96
50,65,78
50,70,78
50,75,77
50,80,66
50,85,49
50,90,10
50,95,10
50,100,0
55,0,3
55,5,20
55,10,35
55,15,62
55,20,75
55,25,81
55,30,80
55,35,81
55,40,96
55,45,99
55,50,105
55,55,81
55,60,90
55,65,85
55,70,100
55,75,75
55,80,85
55,85,62
55,90,44
55,95,11
55,100,0
60,0,4
60,5,12
60,10,24
60,15,44
60,20,52
60,25,65
60,30,71
60,35,86
60,40,83
60,45,107
60,50,108
60,55,94
60,60,104
60,65,111
60,70,97
60,75,103
60,80,71
60,85,68
60,90,46
60,95,20
60,100,0
65,0,0
65,5,12
65,10,25
65,15,40
65,20,44
65,25,47
65,30,58
65,35,70
65,40,82
65,45,89
65,50,106
65,55,101
65,60,105
65,65,99
65,70,106
65,75,111
65,80,102
65,85,83
65,90,68
65,95,22
65,100,0
70,0,1
70,5,3
70,10,7
70,15,27
70,20,39
70,25,33
70,30,50
70,35,53
70,40,69
70,45,89
70,50,83
70,55,91
70,60,107
70,65,118
70,70,116
70,75,120
70,80,119
70,85,114
70,90,85
70,95,45
70,100,0
75,0,1
75,5,1
75,10,10
75,15,19
75,20,17
75,25,35
75,30,44
75,35,51
75,40,56
75,45,80
75,50,86
75,55,90
75,60,92
75,65,119
75,70,116
75,75,134
75,80,113
75,85,139
75,90,113
75,95,52
75,100,2
80,0,0
80,5,0
80,10,3
80,15,9
80,20,16
80,25,9
80,30,18
80,35,36
80,40,59
80,45,73
80,50,80
80,55,68
80,60,80
80,65,102
80,70,124
80,75,133
80,80,163
80,85,141
80,90,146
80,95,107
80,100,3
85,0,0
85,5,0
85,10,1
85,15,4
85,20,10
85,25,11
85,30,14
85,35,29
85,40,33
85,45,40
85,50,50
85,55,56
85,60,74
85,65,96
85,70,115
85,75,128
85,80,176
85,85,200
85,90,166
85,95,162
85,100,5
90,0,0
90,5,0
90,10,0
90,15,0
90,20,1
90,25,0
90,30,3
90,35,14
90,40,13
90,45,16
90,50,28
90,55,51
90,60,52
90,65,78
90,70,98
90,75,100
90,80,153
90,85,215
90,90,281
90,95,253
90,100,14
95,0,0
95,5,0
95,10,0
95,15,0
95,20,0
95,25,0
95,30,0
95,35,1
95,40,2
95,45,6
95,50,15
95,55,8
95,60,17
95,65,28
95,70,32
95,75,60
95,80,96
95,85,150
95,90,300
95,95,563
95,100,102
100,0,0
100,5,0
100,10,0
100,15,0
100,20,0
100,25,0
100,30,0
100,35,0
100,40,0
100,45,0
100,50,0
100,55,0
100,60,0
100,65,0
100,70,0
100,75,1
100,80,2
100,85,3
100,90,10
100,95,110
100,100,147
